,year,week,total_score,temperature,home_team,home_score,away_team,away_score,wind,wind_dir
363,2009,7,44,59,Chiefs,7,Chargers,37,,
364,2009,8,36,48,Bears,30,Browns,6,,
365,2009,9,62,62,Bears,21,Cardinals,41,,
366,2009,10,58,66,Titans,41,Bills,17,,
367,2009,11,13,61,Cowboys,7,Washington,6,,
368,2009,12,31,61,Cowboys,24,Raiders,7,,
369,2009,13,41,70,Falcons,7,Eagles,34,,
370,2009,14,49,70,Falcons,23,Saints,26,,
371,2009,15,41,70,Saints,17,Cowboys,24,,
372,2009,16,34,70,Falcons,31,Bills,3,,
373,2009,17,40,18,Browns,23,Jaguars,17,,
374,2019,1,59,79,Eagles,32,Washington,27,4,W
375,2019,2,52,82,Washington,21,Cowboys,31,3,NW
376,2019,3,51,86,Eagles,24,Lions,27,5,SSW
377,2019,4,27,78,Giants,24,Washington,3,6,N
378,2019,5,40,70,Washington,7,Patriots,33,6,SSW
379,2019,6,58,70,Vikings,38,Eagles,20,9,W
380,2019,7,44,72,Bengals,17,Jaguars,27,1,NW
381,2019,8,50,59,Titans,27,Buccaneers,23,1,W
382,2019,9,36,51,Eagles,22,Bears,14,7,WNW
383,2019,10,35,48,Browns,19,Bills,16,5,W
384,2019,11,62,70,Lions,27,Cowboys,35,3,ESE
385,2019,12,33,44,Bears,19,Giants,14,8,SW
386,2019,13,44,70,Falcons,18,Saints,26,5,NW
387,2019,14,73,76,Buccaneers,38,Colts,35,8,ESE
388,2019,15,64,51,Washington,27,Eagles,37,11,NNW
389,2019,16,65,58,49ers,34,Rams,31,5,S
390,2019,17,52,65,Panthers,10,Saints,42,7,S
391,2018,1,35,58,Giants,15,Jaguars,20,4,NE
392,2018,2,30,73,Washington,9,Colts,21,5,ENE
393,2018,3,48,63,Washington,31,Packers,17,4,ENE
394,2018,4,45,66,Patriots,38,Dolphins,7,3,W
395,2018,5,58,82,Steelers,41,Falcons,17,6,SSW
396,2018,6,40,54,Washington,23,Panthers,17,,SE
397,2018,7,49,80,Buccaneers,26,Browns,23,5,SW
398,2018,8,53,60,Chiefs,30,Broncos,23,8,NW
399,2018,9,70,60,Panthers,42,Buccaneers,28,4,E
400,2018,10,44,38,Browns,28,Falcons,16,2,SSW
401,2018,11,39,70,Lions,20,Panthers,19,,N
402,2018,12,48,70,Saints,31,Falcons,17,2,ESE
403,2018,13,41,80,Buccaneers,24,Panthers,17,15,SSW
404,2018,14,56,32,Washington,16,Giants,40,4,NE
405,2018,15,51,50,Jets,22,Texans,29,8,NE
406,2018,16,55,70,Colts,28,Giants,27,8,NW
407,2018,17,23,45,Texans,20,Jaguars,3,6,NNW
408,2017,1,47,69,Washington,17,Eagles,30,3,NNE
409,2017,2,36,88,Buccaneers,29,Bears,7,4,NNE
410,2017,3,59,70,Colts,31,Browns,28,2,ESE
411,2017,4,71,84,Texans,57,Titans,14,,E
412,2017,5,51,70,Lions,24,Panthers,27,4,SSW
413,2017,6,50,85,Texans,33,Browns,17,2,N
414,2017,7,43,73,Steelers,29,Bengals,14,1,SSW
415,2017,8,45,62,Jets,20,Falcons,25,2,ENE
416,2017,9,30,77,Jaguars,23,Bengals,7,4,NE
417,2017,10,62,70,Lions,38,Browns,24,1,SSW
418,2017,11,26,38,Browns,7,Jaguars,19,8,WNW
419,2017,12,30,32,Washington,20,Giants,10,,SSE
420,2017,13,37,59,Titans,24,Texans,13,2,ESE
421,2017,14,45,53,Buccaneers,21,Lions,24,4,N
422,2017,15,43,50,Chiefs,30,Chargers,13,2,S
423,2017,16,43,35,Bengals,26,Lions,17,2,SSE
424,2017,17,35,70,Colts,22,Texans,13,3,NNW
425,2016,1,41,77,Titans,16,Vikings,25,3,NE
426,2016,2,50,84,Washington,23,Cowboys,27,5,S
427,2016,3,27,89,Titans,10,Raiders,17,3,NW
428,2016,4,47,82,Texans,27,Titans,20,4,NE
429,2016,5,47,70,Lions,24,Eagles,23,6,NNW
430,2016,6,47,69,Washington,27,Eagles,20,5,SSW
431,2016,7,48,69,Chiefs,27,Saints,21,6,WSW
432,2016,8,44,70,Colts,14,Chiefs,30,5,NW
433,2016,9,51,57,Giants,28,Eagles,23,8,NNW
434,2016,10,48,70,Saints,23,Broncos,25,4,N
435,2016,11,44,53,Cowboys,27,Ravens,17,7,S
436,2016,12,35,70,Colts,7,Steelers,28,4,W
437,2016,13,41,70,Saints,13,Lions,28,1,WNW
438,2016,14,23,48,Titans,13,Broncos,10,11,S
439,2016,15,57,9,Bears,27,Packers,30,7,WNW
440,2016,16,55,70,Saints,31,Buccaneers,24,4,SE
441,2016,17,41,49,Titans,24,Texans,17,2,NE
442,2015,1,47,83,Texans,20,Chiefs,27,8,E
443,2015,2,61,69,Steelers,43,49ers,18,2,NW
444,2015,3,68,77,Titans,33,Colts,35,4,SE
445,2015,4,29,70,Colts,16,Jaguars,13,8,NE
446,2015,5,51,72,Bengals,27,Seahawks,24,7,SSW
447,2015,6,38,42,Steelers,25,Cardinals,13,8,W
